Код валюты,Описание,Тип,Базовая валюта
BTC,Bitcoin (BTC),crypto,BTC
BCH,Bitcoin Cash (BCH),crypto,BCH
BSV,Bitcoin SV (BSV),crypto,BSV
BTG,Bitcoin Gold (BTG),crypto,BTG
ETH,Ethereum (ETH),crypto,ETH
ETC,Ether Classic (ETC),crypto,ETC
LTC,Litecoin (LTC),crypto,LTC
XRP,Ripple (XRP),crypto,XRP
XMR,Monero (XMR),crypto,XMR
DOGE,Dogecoin (DOGE),crypto,DOGE
PPC,Peercoin (PPC),crypto,PPC
DASH,Dash (DASH),crypto,DASH
ZEC,Zcash (ZEC),crypto,ZEC
USDT,Tether Omni (USDT),crypto,USDT
USDTERC,Tether ERC20 (USDT),crypto,USDTERC
USDC,USD Coin (USDC),crypto,USDC
TUSD,TrueUSD (TUSD),crypto,TUSD
PAX,Paxos (PAX),crypto,PAX
XEM,NEM (XEM),crypto,XEM
REP,Augur (REP),crypto,REP
NEO,NEO (NEO),crypto,NEO
EOS,EOS (EOS),crypto,EOS
IOTA,IOTA (MIOTA),crypto,IOTA
LSK,Lisk (LSK),crypto,LSK
ADA,Cardano (ADA),crypto,ADA
XLM,Stellar (XLM),crypto,XLM
BCN,Bytecoin (BCN),crypto,BCN
TRX,TRON (TRX),crypto,TRX
WAVES,Waves (WAVES),crypto,WAVES
OMG,OmiseGO (OMG),crypto,OMG
XVG,Verge (XVG),crypto,XVG
ZRX,0x (ZRX),crypto,ZRX
BNB,Binance Coin (BNB),crypto,BNB
ICX,ICON (ICX),crypto,ICX
KMD,Komodo (KMD),crypto,KMD
BTT,BitTorrent (BTT),crypto,BTT
BAT,BAT (BAT),crypto,BAT
ONT,Ontology (ONT),crypto,ONT
QTUM,Qtum (QTUM),crypto,QTUM
QWRUB,QIWI RUB,eps,RUB
QWUSD,QIWI USD,eps,USD
QWEUR,QIWI EUR,eps,EUR
QWKZT,QIWI KZT,eps,KZT
YAMRUB,Яндекс.Деньги,eps,RUB
WMZ,WMZ,eps,USD
WMR,WMR,eps,RUB
WME,WME,eps,EUR
WMU,WMU,eps,UAH
WMB,WMB,eps,BYN
WMK,WMK,eps,KZT
WMG,WMG,eps,GOLD
WMX,WMX,eps,BTC
PMRUSD,Paymer USD,eps,USD
PMRRUB,Paymer RUB,eps,RUB
PMUSD,Perfect Money USD,eps,USD
PMEUR,Perfect Money EUR,eps,EUR
PMBTC,Perfect Money BTC,eps,BTC
PMVUSD,PM e-Voucher USD,eps,USD
PPUSD,PayPal USD,eps,USD
PPRUB,PayPal RUB,eps,RUB
PPEUR,PayPal EUR,eps,EUR
PPGBP,PayPal GBP,eps,GBP
ADVCUSD,Advanced Cash USD,eps,USD
ADVCRUB,Advanced Cash RUB,eps,RUB
ADVCEUR,Advanced Cash EUR,eps,EUR
ADVCUAH,Advanced Cash UAH,eps,UAH
ADVCKZT,Advanced Cash KZT,eps,KZT
PRUSD,Payeer USD,eps,USD
PRRUB,Payeer RUB,eps,RUB
PREUR,Payeer EUR,eps,EUR
SKLUSD,Skrill USD,eps,USD
